clustid,db,recnum,nclust
99443425,829,4011,2
99443425,709,2685,2
99444074,829,4013,2
99444074,709,2686,2
99445371,829,4021,2
99445371,709,2693,2
99445467,829,4022,2
99445467,709,2694,2
99445503,829,4024,2
99445503,709,2696,2
99445504,829,4025,2
99445504,709,2697,2
99445514,829,4026,2
99445514,709,2698,2
99445519,709,2699,2
99445519,829,4027,2
99447022,709,2710,2
99447022,829,4035,2
99447114,709,2713,2
99447114,829,4037,2
99447864,709,2716,3
99447864,829,4040,3
99447864,709,4314,3
99449378,829,4046,2
99449378,709,2721,2
99450861,709,2729,2
99450861,829,4052,2
99454434,829,4060,2
99454434,709,2739,2
99454965,829,4063,2
99454965,709,2741,2
99455641,829,4066,2
99455641,709,2744,2
99457329,829,4071,2
99457329,709,2747,2
99459386,829,4076,2
99459386,709,2752,2
99460442,829,4082,2
99460442,709,2758,2
99460597,709,2759,2
99460597,829,4083,2
99460618,829,4084,2
99460618,709,2760,2
99460782,829,4086,2
99460782,709,2762,2
99460851,829,4087,2
99460851,709,2763,2
99461557,829,4088,3
99461557,709,2765,3
99461557,709,228,3
99461563,829,4089,3
99461563,709,2766,3
99461563,829,5853,3
99461920,829,4093,2
99461920,709,2770,2
99462223,829,4094,2
99462223,709,2771,2
99462347,829,4095,2
99462347,709,2772,2
99464566,829,4107,2
99464566,709,2785,2
99464941,829,4113,2
99464941,709,2791,2
99465507,829,4117,2
99465507,709,2794,2
99465959,829,4120,2
99465959,709,2797,2
99465991,829,4121,2
99465991,709,2798,2
99466305,829,4123,2
99466305,709,2800,2
99466634,709,2801,2
99466634,829,4126,2
99467140,829,4131,2
99467140,709,2806,2
99467352,829,4132,2
99467352,709,2807,2
99468177,829,4138,2
99468177,709,2813,2
99470170,829,4147,2
99470170,709,2821,2
99472847,829,4160,2
99472847,709,2832,2
99473850,709,2835,2
99473850,829,4161,2
99474432,829,4167,2
99474432,709,2842,2
99474589,829,4168,2
99474589,709,2843,2
99475236,709,2846,3
99475236,709,4300,3
99475236,829,4171,3
99475552,709,2849,2
99475552,829,4174,2
99476914,829,4179,3
99476914,709,2854,3
99476914,709,2984,3
99477769,829,4184,2
99477769,709,2859,2
99478853,829,4196,2
99478853,709,2870,2
99479026,829,4198,2
99479026,709,2872,2
99479554,829,4204,2
99479554,709,2878,2
99480798,829,4214,2
99480798,709,2888,2
99481839,829,4223,2
99481839,709,2897,2
99481841,829,4224,2
99481841,709,2898,2
99482397,829,4229,2
99482397,709,2903,2
99482923,709,2905,3
99482923,829,5879,3
99482923,829,4231,3
99483518,709,2907,2
99483518,829,4234,2
99483999,709,2911,2
99483999,829,4237,2
99484016,829,5854,2
99484016,829,4238,2
99484105,829,4240,2
99484105,709,2913,2
99484947,829,5880,3
99484947,829,4245,3
99484947,709,2918,3
99485050,829,4247,2
99485050,709,2920,2
99485347,829,4248,2
99485347,709,2921,2
99485439,829,4251,2
99485439,709,2924,2
99487206,829,4260,2
99487206,709,2933,2
99488327,829,4274,2
99488327,709,2947,2
99489166,829,4278,2
99489166,709,2951,2
99490045,829,4288,2
99490045,709,2961,2
99491481,709,2964,3
99491481,829,4291,3
99491481,829,5881,3
99491792,709,2966,2
99491792,829,4293,2
99493722,829,4306,2
99493722,709,2980,2
99495223,829,4314,2
99495223,709,2987,2
99495805,829,4318,2
99495805,709,2991,2
99497807,829,4330,2
99497807,709,3002,2
99497983,829,4331,2
99497983,709,3003,2
99499863,709,3009,2
99499863,829,4336,2
99499885,829,4337,3
99499885,709,3010,3
99499885,709,2405,3
99500198,829,5891,2
99500198,709,4301,2
99501576,829,5882,3
99501576,829,4343,3
99501576,709,3017,3
99501671,829,4344,2
99501671,709,3018,2
99501673,829,4345,2
99501673,709,3019,2
99503271,709,3025,2
99503271,829,4352,2
99503274,829,4353,2
99503274,709,3026,2
99504514,829,4356,2
99504514,709,3029,2
99504968,829,4358,2
99504968,709,3031,2
99505466,709,3035,2
99505466,829,4362,2
99508044,829,4372,2
99508044,709,3044,2
99509000,709,3049,2
99509000,829,4377,2
99509075,829,4378,2
99509075,709,3050,2
99509974,709,3055,2
99509974,829,4383,2
99510096,829,4384,2
99510096,709,3057,2
99510194,829,4385,2
99510194,709,3058,2
99511973,829,4395,2
99511973,709,3069,2
99512650,709,3072,2
99512650,829,4397,2
99513921,829,4402,2
99513921,709,3078,2
99514404,829,4403,2
99514404,709,3079,2
99515285,829,4409,2
99515285,709,3084,2
99516606,709,3093,2
99516606,829,4419,2
99516954,829,4420,3
99516954,709,4302,3
99516954,709,3095,3
99517036,829,4421,2
99517036,709,3096,2
99517283,829,4423,2
99517283,709,3098,2
99517865,829,4425,2
99517865,709,3100,2
99519021,829,4430,2
99519021,709,3105,2
99519023,829,4431,2
99519023,709,3106,2
99519024,829,4432,2
99519024,709,3107,2
99520281,829,4436,2
99520281,709,3111,2
99521191,709,3118,3
99521191,829,4441,3
99521191,709,4303,3
99521523,829,4443,3
99521523,709,3016,3
99521523,709,3120,3
99521910,829,4445,2
99521910,709,3122,2
99522083,829,4448,2
99522083,709,3125,2
99522097,829,4449,2
99522097,709,3126,2
99523138,829,4453,2
99523138,709,3130,2
99523154,829,4454,2
99523154,709,3131,2
99524445,829,4462,2
99524445,709,3139,2
99525223,829,4464,2
99525223,709,3141,2
99525402,829,4466,2
99525402,709,3143,2
99526378,829,4471,3
99526378,709,3116,3
99526378,709,3149,3
99526382,709,3150,2
99526382,709,3117,2
99526467,829,4473,2
99526467,709,3152,2
99527156,829,4477,2
99527156,709,3157,2
99527768,829,4480,2
99527768,709,3160,2
99528325,829,4485,2
99528325,709,3165,2
99529159,829,4487,2
99529159,709,3167,2
99530168,709,3177,2
99530168,829,4498,2
99530980,829,4503,2
99530980,709,3181,2
99531494,829,4507,2
99531494,709,3185,2
99531944,709,3189,2
99531944,829,4511,2
99531990,709,3191,3
99531990,829,4512,3
99531990,829,5856,3
99532247,829,4514,2
99532247,709,3193,2
99532516,709,4305,3
99532516,829,4515,3
99532516,709,3194,3
99532738,829,4516,2
99532738,709,3196,2
99534191,709,3203,2
99534191,829,4523,2
99534589,829,4528,2
99534589,709,3209,2
99535125,829,4532,2
99535125,709,3213,2
99535454,829,4534,2
99535454,709,3215,2
99537431,829,4544,2
99537431,709,3224,2
99539451,829,4560,2
99539451,709,3241,2
99540893,829,4573,2
99540893,709,3254,2
99541231,829,4577,2
99541231,709,3258,2
99541279,829,4578,2
99541279,709,3259,2
99541297,829,4579,2
99541297,709,3260,2
99541464,829,4582,2
99541464,709,3263,2
99541554,829,4585,2
99541554,709,3266,2
99541896,829,4588,2
99541896,709,3269,2
99542713,829,4597,2
99542713,709,3278,2
99544046,709,3284,3
99544046,709,4306,3
99544046,829,4604,3
99544047,829,4605,2
99544047,709,3285,2
99544230,829,4608,2
99544230,709,3288,2
99544857,829,4613,2
99544857,709,3293,2
99545722,829,4618,2
99545722,709,3299,2
99545850,829,4619,3
99545850,709,2703,3
99545850,709,4307,3
99546116,829,4620,2
99546116,709,3300,2
99546117,829,4621,2
99546117,709,3301,2
99546322,829,4623,2
99546322,709,3303,2
99546332,709,4308,2
99546332,829,4624,2
99546700,829,4631,2
99546700,709,3311,2
99546721,709,3312,3
99546721,829,4632,3
99546721,829,5883,3
99547178,709,3317,2
99547178,829,4637,2
99547375,829,4639,2
99547375,709,3319,2
99547856,829,4642,2
99547856,709,3322,2
99548135,709,3070,2
99548135,709,3325,2
99548518,829,4645,2
99548518,709,3326,2
99548906,829,4648,2
99548906,709,3329,2
99550237,829,4662,2
99550237,709,3343,2
99550328,829,4664,2
99550328,709,3345,2
99551137,829,4671,2
99551137,709,3352,2
99551245,829,4673,2
99551245,709,3354,2
99551725,829,4680,2
99551725,709,3361,2
99552591,829,4685,2
99552591,709,3366,2
99552870,829,4687,2
99552870,709,3368,2
99553677,829,4693,2
99553677,709,3374,2
99554749,829,4704,2
99554749,709,3385,2
99555078,709,3391,3
99555078,829,4710,3
99555078,829,5884,3
99555358,709,3394,2
99555358,829,4712,2
99555887,709,3401,2
99555887,829,4719,2
99556020,709,4309,3
99556020,709,3404,3
99556020,829,4722,3
99556091,709,3405,2
99556091,829,4723,2
99556541,829,4729,2
99556541,709,3411,2
99558159,709,3429,2
99558159,829,4748,2
99558176,829,4749,2
99558176,709,3430,2
99558302,829,4752,2
99558302,709,3431,2
99558526,829,4755,2
99558526,709,3434,2
99558562,829,4756,2
99558562,709,3435,2
99558903,829,4762,2
99558903,709,3441,2
99559229,829,1645,3
99559229,829,4765,3
99559229,709,3444,3
99559782,829,4770,2
99559782,709,3448,2
99560961,709,3454,3
99560961,829,4776,3
99560961,709,2764,3
99561210,829,4779,2
99561210,709,3457,2
99561264,829,4780,2
99561264,709,3458,2
99561963,709,3462,2
99561963,829,4785,2
99562174,829,4788,2
99562174,709,3465,2
99562707,829,4794,2
99562707,709,3471,2
99562935,709,3474,2
99562935,829,4797,2
99562942,829,4798,2
99562942,709,3475,2
99563114,829,4802,2
99563114,709,3479,2
99563826,829,4809,2
99563826,709,3487,2
99563852,829,4810,2
99563852,709,3488,2
99564174,829,4814,2
99564174,709,3492,2
99564371,709,3495,2
99564371,829,4817,2
99564518,829,4819,2
99564518,709,3497,2
99564640,829,4822,2
99564640,709,3499,2
99564796,829,4823,2
99564796,709,3500,2
99564810,829,4824,2
99564810,709,3501,2
99565262,829,4830,2
99565262,709,3507,2
99565333,829,4834,2
99565333,709,3511,2
99565776,829,4841,2
99565776,709,3518,2
99566028,829,4845,2
99566028,709,3522,2
99566045,709,3523,2
99566045,829,4846,2
99566374,829,4850,2
99566374,709,3528,2
99566406,829,4851,3
99566406,709,3529,3
99566406,709,4281,3
99567247,829,4862,2
99567247,709,3541,2
99567580,829,4864,2
99567580,709,3543,2
99567671,829,4867,2
99567671,709,3546,2
99568421,829,4873,2
99568421,709,3552,2
99568657,829,4876,2
99568657,709,3555,2
99569637,829,4890,2
99569637,709,3570,2
99570380,829,4894,2
99570380,709,3575,2
99570480,829,4895,2
99570480,709,4282,2
99570669,829,4897,2
99570669,709,3577,2
99570705,829,4898,2
99570705,709,3578,2
99571628,829,4907,2
99571628,709,3587,2
99572122,829,4911,2
99572122,709,3591,2
99572186,829,4912,2
99572186,709,3592,2
99573025,709,3595,3
99573025,829,4916,3
99573025,829,5885,3
99573466,829,4921,2
99573466,709,3600,2
99573514,829,4922,2
99573514,709,3601,2
99573642,829,4924,2
99573642,709,3603,2
99573770,709,3606,2
99573770,829,4927,2
99573834,829,4928,2
99573834,709,3607,2
99573835,829,4929,2
99573835,709,3608,2
99575765,829,4365,3
99575765,829,4945,3
99575765,709,3625,3
99576444,829,4951,2
99576444,709,3632,2
99577897,829,4962,2
99577897,709,3643,2
99578054,709,3646,2
99578054,829,4965,2
99578190,829,4967,2
99578190,709,3648,2
99578241,829,4971,2
99578241,709,3653,2
99578245,829,4972,2
99578245,709,3654,2
99578268,829,4974,3
99578268,709,4280,3
99578268,709,3656,3
99578559,829,4977,2
99578559,709,3661,2
99579245,829,4982,2
99579245,709,3665,2
99579294,829,4983,2
99579294,709,3666,2
99581339,829,4994,2
99581339,709,3676,2
99583454,829,5008,2
99583454,709,3689,2
99583503,829,5010,2
99583503,709,3691,2
99583615,829,5013,2
99583615,709,3694,2
99584490,709,4310,3
99584490,829,5022,3
99584490,709,3703,3
99584697,829,5027,2
99584697,709,3708,2
99584750,829,5028,2
99584750,709,3709,2
99584852,829,5029,2
99584852,709,3710,2
99585339,829,5032,2
99585339,709,3713,2
99585353,709,3714,2
99585353,829,5033,2
99587602,829,5055,2
99587602,709,3736,2
99587603,829,5056,2
99587603,709,3737,2
99587617,829,5057,2
99587617,709,3738,2
99587728,829,5059,2
99587728,709,3740,2
99587729,829,5060,2
99587729,709,3741,2
99587793,829,5061,2
99587793,709,3742,2
99588390,829,5071,2
99588390,709,3755,2
99588416,709,3756,2
99588416,829,5072,2
99589101,829,5075,2
99589101,709,3759,2
99589102,829,5076,2
99589102,709,3760,2
99589114,829,5077,2
99589114,709,3761,2
99589137,829,5078,2
99589137,709,3762,2
99589336,829,5079,2
99589336,709,3763,2
99589701,829,5084,2
99589701,709,3768,2
99590155,829,5089,2
99590155,709,3773,2
99590502,829,5097,2
99590502,709,3781,2
99590931,829,5098,2
99590931,709,3782,2
99591007,829,5855,3
99591007,709,3783,3
99591007,829,5099,3
99591053,829,5102,2
99591053,709,3786,2
99591505,709,3793,3
99591505,829,4342,3
99591505,829,5109,3
99592229,829,5114,3
99592229,829,5858,3
99592229,709,3798,3
99593908,829,5134,2
99593908,709,3818,2
99595427,709,3828,2
99595427,829,5145,2
99595615,829,5146,2
99595615,709,3829,2
99595909,829,5148,2
99595909,709,3831,2
99597328,829,5157,2
99597328,709,3840,2
99597470,829,5159,2
99597470,709,3842,2
99598982,829,5174,3
99598982,709,3857,3
99598982,709,4311,3
99600039,829,5182,3
99600039,829,3835,3
99600039,709,3865,3
99600628,709,4315,3
99600628,829,5186,3
99600628,709,3868,3
99601369,829,5194,2
99601369,709,3877,2
99601519,829,5196,2
99601519,709,3879,2
99601626,829,5198,2
99601626,709,3882,2
99601897,709,3885,2
99601897,829,5201,2
99602519,829,5207,2
99602519,709,3892,2
99602830,829,5215,2
99602830,709,3899,2
99603166,829,5218,2
99603166,709,3902,2
99603952,829,5226,2
99603952,709,3911,2
99604002,829,5228,2
99604002,709,3913,2
99605159,829,5240,2
99605159,709,3925,2
99605199,829,5243,2
99605199,709,3928,2
99605624,829,5246,2
99605624,709,3931,2
99605686,829,5247,2
99605686,709,3932,2
99605713,829,5249,2
99605713,709,3934,2
99606593,829,5257,2
99606593,709,3942,2
99606707,829,5258,2
99606707,709,3943,2
99606811,829,5259,2
99606811,709,3944,2
99607147,709,3945,2
99607147,829,5261,2
99607386,829,5262,2
99607386,709,3947,2
99607633,829,5265,2
99607633,709,3950,2
99607715,829,5267,2
99607715,709,3951,2
99607977,829,5268,2
99607977,709,3952,2
99608021,709,3953,2
99608021,829,5269,2
99609743,829,5278,2
99609743,709,3964,2
99610062,709,3966,2
99610062,829,5280,2
99610686,829,5285,2
99610686,709,3972,2
99610690,829,5286,2
99610690,709,3973,2
99610946,829,5290,2
99610946,709,3978,2
99611151,829,5291,2
99611151,709,3979,2
99611152,829,5292,2
99611152,709,3980,2
99611275,829,5293,2
99611275,709,3981,2
99611745,829,5297,2
99611745,709,3985,2
99612354,829,5300,2
99612354,709,3988,2
99612420,829,5301,2
99612420,709,3989,2
99612592,829,5302,2
99612592,709,3990,2
99613104,709,3994,2
99613104,829,5304,2
99613811,829,5309,2
99613811,709,3999,2
99614810,829,5320,2
99614810,709,4010,2
99614904,829,5321,2
99614904,709,4011,2
99615040,829,5322,3
99615040,829,5260,3
99615040,709,4013,3
99615041,829,5323,2
99615041,709,4014,2
99615995,709,4316,2
99615995,829,5335,2
99616337,829,5338,2
99616337,709,4029,2
99616437,829,5887,2
99616437,709,4312,2
99616783,829,5342,2
99616783,709,4033,2
99617754,829,5351,2
99617754,709,4042,2
99618126,829,5357,2
99618126,709,4048,2
99618492,829,5359,2
99618492,709,4050,2
99619255,829,5362,2
99619255,709,4053,2
99619293,829,5364,2
99619293,709,4055,2
99620405,829,5373,2
99620405,709,4063,2
99620419,829,5374,2
99620419,709,4064,2
99621523,829,5385,2
99621523,709,4075,2
99623002,709,4081,2
99623002,829,5391,2
99624412,829,5398,2
99624412,709,4089,2
99624527,829,5401,2
99624527,709,4092,2
99624666,829,5403,2
99624666,709,4094,2
99626932,709,4108,2
99626932,829,5418,2
99627347,709,4110,2
99627347,829,5419,2
99627972,829,5420,2
99627972,709,4112,2
99628007,829,5421,2
99628007,709,4113,2
99628027,829,5422,2
99628027,709,4114,2
99628455,829,5425,2
99628455,709,4117,2
99629076,829,5429,2
99629076,709,4121,2
99629550,709,4123,2
99629550,829,5431,2
99629566,829,5433,2
99629566,709,4125,2
99631672,829,5456,2
99631672,709,4149,2
99631695,829,5458,2
99631695,709,4151,2
99631945,829,5462,3
99631945,829,5511,3
99631945,709,4155,3
99632576,709,4164,2
99632576,829,5471,2
99633053,829,5472,2
99633053,709,4165,2
99633133,829,5474,2
99633133,709,4167,2
99633206,829,5475,2
99633206,709,4168,2
99633374,829,5477,2
99633374,709,4170,2
99633542,829,5480,2
99633542,709,4173,2
99634164,829,5485,2
99634164,709,4177,2
99634472,709,4278,3
99634472,709,4181,3
99634472,829,5488,3
99634940,829,5493,2
99634940,709,4186,2
99634964,829,5494,2
99634964,709,4187,2
99635120,829,5496,2
99635120,709,4189,2
99636579,829,5516,2
99636579,709,4210,2
99636765,829,5517,2
99636765,709,4211,2
99636848,829,5520,2
99636848,709,4214,2
99637516,829,5524,2
99637516,709,4217,2
99637693,829,5526,2
99637693,709,4219,2
99637947,829,5527,2
99637947,709,4220,2
99638090,709,4222,2
99638090,829,5529,2
99638850,829,5537,3
99638850,709,4231,3
99638850,709,4283,3
99640189,709,4239,2
99640189,829,5544,2
99641994,829,5553,2
99641994,709,4248,2
99641996,709,4250,2
99641996,829,5555,2
99642516,829,5558,2
99642516,709,4254,2
99642806,829,5562,2
99642806,709,4313,2
99643450,829,5565,2
99643450,709,4260,2
99643472,829,5566,2
99643472,709,4261,2
99643796,709,4263,2
99643796,829,5569,2
99644425,829,5573,2
99644425,709,4267,2
99645923,829,5580,2
99645923,709,4274,2
99649322,829,5888,2
99649322,829,5600,2
99650873,829,5613,2
99650873,829,5889,2
99653043,829,5632,2
99653043,829,5852,2
99662764,829,5725,2
99662764,829,5210,2
99662976,829,5893,2
99662976,829,5727,2
99664428,829,5892,2
99664428,829,5741,2
99670825,829,5188,2
99670825,829,5810,2
99671859,829,5890,2
99671859,829,5820,2
99672102,829,5823,2
99672102,829,5776,2
