clustid,db,recnum,nclust
9800949,709,709,2
9801740,829,2042,2
9801740,709,713,2
9826825,829,2046,2
9826825,709,717,2
9828257,829,2049,2
9828257,709,720,2
9828402,829,2050,3
9828402,709,725,3
9828402,709,721,3
9833901,829,2063,2
9833901,709,735,2
9838222,709,745,3
9838222,829,1540,3
9838222,829,2072,3
9840090,829,2076,2
9840090,709,748,2
9840265,829,2077,2
9840265,709,749,2
9840890,829,2080,2
9840890,709,752,2
9841267,829,2081,2
9841267,709,753,2
9842013,829,2083,2
9842013,709,755,2
9842060,829,2084,2
9842060,709,756,2
9847344,829,2096,2
9847344,709,768,2
9847703,829,2097,2
9847703,709,769,2
9847797,829,2099,2
9847797,709,771,2
9848260,709,772,2
9848260,829,2100,2
9850083,829,2105,2
9850083,709,777,2
9851401,829,2108,2
9851401,709,780,2
9851819,829,2109,2
9851819,709,781,2
9860362,709,791,2
9860362,829,2120,2
30443257,829,2122,2
30443257,709,803,2
30444494,829,2127,2
30444494,709,808,2
30446657,829,2137,2
30446657,709,817,2
30447933,709,820,3
30447933,829,5865,3
30447933,829,2140,3
30450640,829,2150,2
30450640,709,830,2
30455828,829,2157,2
30455828,709,837,2
30456134,829,2158,2
30456134,709,838,2
30456452,829,2159,2
30456452,709,839,2
30457823,829,2164,2
30457823,709,844,2
30460016,829,2170,2
30460016,709,850,2
30460928,829,2171,2
30460928,709,851,2
30461789,829,2174,2
30461789,709,854,2
30462351,709,4285,2
30462351,829,2175,2
30464046,829,2177,2
30464046,709,856,2
30465491,829,2182,2
30465491,709,862,2
30466149,829,2184,2
30466149,709,864,2
30469795,829,2191,2
30469795,709,871,2
30470229,829,2194,2
30470229,709,874,2
30472570,829,2198,2
30472570,709,878,2
30472571,829,2199,2
30472571,709,879,2
30473803,709,882,2
30473803,829,2202,2
30474814,829,2210,2
30474814,709,891,2
30475404,829,2214,2
30475404,709,895,2
30475728,829,2215,2
30475728,709,896,2
30476438,829,2219,2
30476438,709,900,2
30478689,709,903,2
30478689,829,2222,2
30479985,709,908,2
30479985,829,2227,2
30481013,829,2228,2
30481013,709,909,2
30483731,829,2237,2
30483731,709,917,2
30483743,829,2238,2
30483743,709,918,2
30486819,709,922,2
30486819,829,2243,2
30488485,709,927,2
30488485,829,2248,2
30489432,829,2250,2
